genotype	category	NOR	WH	year	height_at_flowering	grain_yield
b131	b131	homozygous	WH1	2022	180	64.6
b131	b131	homozygous	WH2	2022	175	66.6
b131	b131	homozygous	WH3	2022	175	72.6
b131	b131	homozygous	WH5	2022	190	89.2
b131	b131	homozygous	WH6	2022	180	150.5
b131xB73	b131	heterozygous	WH1	2022	185	134.5
b131xB73	b131	heterozygous	WH2	2022	180	100.5
b131xB73	b131	heterozygous	WH3	2022	200	81.0
b131xB73	b131	heterozygous	WH4	2022	190	83.0
b131xB73	b131	heterozygous	WH5	2022	180	93.9
b131xB73	b131	heterozygous	WH6	2022	175	155.6
b172	b172	homozygous	WH1	2022	150	138.6
b172	b172	homozygous	WH2	2022	175	154.6
b172	b172	homozygous	WH3	2022	165	206.9
b172	b172	homozygous	WH4	2022	175	124.9
b172	b172	homozygous	WH5	2022	140	95.4
b172	b172	homozygous	WH6	2022	170	109.6
b172xB73	b172	heterozygous	WH1	2022	190	133.8
b172xB73	b172	heterozygous	WH2	2022	185	86.8
b172xB73	b172	heterozygous	WH3	2022	215	119.7
b172xB73	b172	heterozygous	WH4	2022	185	149.4
b172xB73	b172	heterozygous	WH5	2022	205	146.6
b172xB73	b172	heterozygous	WH6	2022	195	237.4
B73	B73	homozygous	WH1	2022	170	67.5
B73	B73	homozygous	WH2	2022	180	93.3
B73	B73	homozygous	WH3	2022	165	102.8
B73	B73	homozygous	WH4	2022	180	93.7
B73	B73	homozygous	WH5	2022	175	81.7
B73	B73	homozygous	WH6	2022	175	92.8
B73xb172	b172	heterozygous	WH1	2022	185	111.3
B73xb172	b172	heterozygous	WH2	2022	200	147.0
B73xb172	b172	heterozygous	WH3	2022	175	149.6
B73xb172	b172	heterozygous	WH4	2022	205	105.0
B73xb172	b172	heterozygous	WH5	2022	200	179.6
B73xb172	b172	heterozygous	WH6	2022	195	137.1
B73xMo17	B73xMo17	heterozygous	WH1	2022	235	507.4
B73xMo17	B73xMo17	heterozygous	WH2	2022	230	353.9
B73xMo17	B73xMo17	heterozygous	WH3	2022	225	363.3
B73xMo17	B73xMo17	heterozygous	WH4	2022	210	436.2
B73xMo17	B73xMo17	heterozygous	WH5	2022	235	301.2
B73xMo17	B73xMo17	heterozygous	WH6	2022	210	246.1
m047	m047	homozygous	WH1	2022	170	51.4
m047	m047	homozygous	WH2	2022	170	89.4
m047	m047	homozygous	WH3	2022	170	58.2
m047	m047	homozygous	WH4	2022	170	49.9
m047	m047	homozygous	WH5	2022	185	62.3
m047	m047	homozygous	WH6	2022	170	143.3
m047xMo17	m047	heterozygous	WH1	2022	172	101.8
m047xMo17	m047	heterozygous	WH2	2022	185	99.7
m047xMo17	m047	heterozygous	WH3	2022	165	83.6
m047xMo17	m047	heterozygous	WH4	2022	175	57.5
m047xMo17	m047	heterozygous	WH5	2022	165	139.0
m047xMo17	m047	heterozygous	WH6	2022	170	91.0
Mo17	Mo17	homozygous	WH2	2022	185	57.2
Mo17	Mo17	homozygous	WH3	2022	175	54.7
Mo17	Mo17	homozygous	WH4	2022	150	85.5
Mo17	Mo17	homozygous	WH5	2022	155	30.9
Mo17	Mo17	homozygous	WH6	2022	165	127.9
b015	b015	homozygous	WH1	2024	178	41.5
b015	b015	homozygous	WH2	2024	199	30.6
b015	b015	homozygous	WH3	2024	222	24.4
b015	b015	homozygous	WH4	2024	214	50.1
b015	b015	homozygous	WH5	2024	202	32.3
b015	b015	homozygous	WH6	2024	172	45.3
b015xB73	b015	heterozygous	WH1	2024	236	55.3
b015xB73	b015	heterozygous	WH2	2024	220	76.5
b015xB73	b015	heterozygous	WH3	2024	194	42.2
b015xB73	b015	heterozygous	WH4	2024	237	70.6
b015xB73	b015	heterozygous	WH5	2024	218	43.1
b015xB73	b015	heterozygous	WH6	2024	244	70.5
b131	b131	homozygous	WH1	2024	163	18.7
b131	b131	homozygous	WH2	2024	186	25.8
b131	b131	homozygous	WH3	2024	184	60.1
b131	b131	homozygous	WH4	2024	207	25.1
b131	b131	homozygous	WH5	2024	172	13.8
b131	b131	homozygous	WH6	2024	180	25.3
b131xB73	b131	heterozygous	WH1	2024	209	61.3
b131xB73	b131	heterozygous	WH2	2024	225	44.0
b131xB73	b131	heterozygous	WH3	2024	215	56.3
b131xB73	b131	heterozygous	WH4	2024	191	38.5
b131xB73	b131	heterozygous	WH5	2024	202	40.0
b131xB73	b131	heterozygous	WH6	2024	203	48.6
b172	b172	homozygous	WH1	2024	195	97.1
b172	b172	homozygous	WH2	2024	179	109.6
