line	experiment	NOR	group	category	DAS4	DAS7	DAS10	DAS13	DAS16	DAS19	DAS22
b015	exp1	homozygous	B73_NIL	b015	0.7	8.7	19.5	28.9	36.3	42.6	49.7
b015	exp1	homozygous	B73_NIL	b015	0	5.7	19.5	24.5	32.1	40.8	47.5
b015	exp1	homozygous	B73_NIL	b015	0.7	9	18.6	24.9	26	35.6	38.5
b015	exp1	homozygous	B73_NIL	b015	0.8	8.2	17.3	26.7	34.6	40.6	47.5
b015	exp1	homozygous	B73_NIL	b015	0.6	9.2	17.5	28.9	36.5	42.5	50.2
b015	exp1	homozygous	B73_NIL	b015	1	9.3	19.6	25.8	35.4	41.5	47.9
b015	exp1	homozygous	B73_NIL	b015	0	5.7	12.7	19.7	26.8	28.9	38.6
b015	exp1	homozygous	B73_NIL	b015	0.5	6.5	18.5	22.5	25.3	32.1	41.8
b015	exp1	homozygous	B73_NIL	b015	0.9	8.1	12.4	23.6	29.9	35.3	43.5
b015	exp1	homozygous	B73_NIL	b015	1	9.2	18.7	25.5	32.1	38.6	48.4
b015	exp2	homozygous	B73_NIL	b015	0.6	7.9	13.8	22.6	27.4	33.8	43.5
b015	exp2	homozygous	B73_NIL	b015	0.9	7.6	14.3	23.8	29.5	36.8	45.8
b015	exp2	homozygous	B73_NIL	b015	1.2	6.7	19.8	22.4	28.4	35.7	43.9
b015	exp2	homozygous	B73_NIL	b015	1	9.4	19.3	22.7	28.6	34.7	51.4
b015	exp2	homozygous	B73_NIL	b015	1.1	8.4	19.5	20.9	23.4	34.8	45.2
b015	exp2	homozygous	B73_NIL	b015	0.9	8.4	17.6	25.5	33.2	39.8	48.6
b015	exp2	homozygous	B73_NIL	b015	1	9.5	19.6	23.7	29.4	36.7	46.3
b015	exp2	homozygous	B73_NIL	b015	0.8	9.2	16.9	23.4	32.1	39.6	49.5
b015	exp2	homozygous	B73_NIL	b015	0.8	6.4	13.6	22.7	29.7	35.8	43.6
b015	exp2	homozygous	B73_NIL	b015	0	2.6	16.8	19.8	20.4	26.7	35.4
b015	exp3	homozygous	B73_NIL	b015	0.7	7.5	12.7	22.9	28.9	35.6	43.9
b015	exp3	homozygous	B73_NIL	b015	0.8	7.5	13.9	21.4	27.6	35.6	44.6
b015	exp3	homozygous	B73_NIL	b015	0.8	4.5	13.9	19.6	28.2	33.5	42.8
b015	exp3	homozygous	B73_NIL	b015	0.7	7.4	18.7	19.8	29.7	39.6	44.4
b015	exp3	homozygous	B73_NIL	b015	0	3.5	12.7	15.8	24.4	33.8	38.1
b015	exp3	homozygous	B73_NIL	b015	0.7	5.9	13.7	17.6	26.2	37.8	43.2
b015	exp3	homozygous	B73_NIL	b015	0	2.7	10.8	19.7	17.4	27.6	35.7
b015	exp3	homozygous	B73_NIL	b015	0.7	7.6	11.2	21.8	31.3	37.5	48.9
b015	exp3	homozygous	B73_NIL	b015	0.8	7.8	18.7	21.4	28.8	37.5	47.8
b015	exp3	homozygous	B73_NIL	b015	0.8	8.2	11.2	21.5	28.6	38.6	45.7
b131	exp1	homozygous	B73_NIL	b131	0.5	6.3	14.2	23.4	27.9	36.4	53.8
b131	exp1	homozygous	B73_NIL	b131	0.7	7.9	17.5	20.3	25.4	36.9	44.6
b131	exp1	homozygous	B73_NIL	b131	0.8	6.7	12.4	28.2	32.1	42.9	49.8
b131	exp1	homozygous	B73_NIL	b131	0.9	8.4	11.3	29.6	35	42.6	50.7
b131	exp1	homozygous	B73_NIL	b131	0.9	0.9	6.1	16.3	25.8	35.6	43.6
b131	exp1	homozygous	B73_NIL	b131	0.5	5.4	9.3	19.6	22.7	37.5	36.8
b131	exp1	homozygous	B73_NIL	b131	0.6	8.6	10.2	19.5	29	38.7	46.3
b131	exp1	homozygous	B73_NIL	b131	1	6.9	10.5	23.7	27.5	39.8	45.7
b131	exp1	homozygous	B73_NIL	b131	1.1	7.1	12.4	22.5	30.6	42.6	50.6
b131	exp1	homozygous	B73_NIL	b131	0.9	7.2	15.6	21.6	27.9	39.6	45.4
b131	exp2	homozygous	B73_NIL	b131	1	9.7	12.6	26.6	38	42.9	50.5
b131	exp2	homozygous	B73_NIL	b131	0.9	7.9	15.8	22.8	26.5	48.5	54.9
b131	exp2	homozygous	B73_NIL	b131	1.1	6.8	16.2	25.9	37.8	39.2	47.6
b131	exp2	homozygous	B73_NIL	b131	1	6.5	13.6	29.4	34.6	47.5	55.7
b131	exp2	homozygous	B73_NIL	b131	0.6	8.9	19.5	34.5	37.3	48.7	54.5
b131	exp2	homozygous	B73_NIL	b131	0.5	3.5	13	26.9	32.7	47.6	55.8
b131	exp2	homozygous	B73_NIL	b131	0.6	5.9	10.3	20.1	24.9	32.3	42.8
b131	exp2	homozygous	B73_NIL	b131	1	8.3	12.8	33.7	38.5	46.9	51.6
b131	exp2	homozygous	B73_NIL	b131	1	7.5	17.3	27.4	32.7	40.8	50.8
b131	exp2	homozygous	B73_NIL	b131	1	8.5	19.5	24.3	27.5	38.5	44.5
b131	exp3	homozygous	B73_NIL	b131	1	9.6	18.4	22.7	39.7	49.7	54.6
